Aggregation Level,Data item,Unit,Pathway,Fuel,Peak/ Annual/ Minimum,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
3,Residential District Heat Demand,GWh,Falling Behind,Electricity,Annual [Fiscal],140.833,143.516,180.569,281.447,387.296,498.114,613.902,717.441,910.287,1103.133,1295.979,1488.825,1681.671,1912.069,2142.467,2372.865,2603.263,2833.662,3482.307,4130.953,4779.599,5428.244,6076.89,6435.211,6793.532,7151.852,7510.173,7868.494
3,Residential District Heat Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],140.833,143.516,167.548,291.635,421.91,558.373,701.025,829.946,1081.349,1332.752,1584.155,1835.558,2086.961,3625.484,5164.007,6702.531,8241.054,9779.577,11079.464,12379.351,13679.238,14979.124,16279.011,16942.862,17606.712,18270.563,18934.414,19598.264
3,Residential District Heat Demand,GWh,Ten Year Forecast,Electricity,Annual [Fiscal],140.833,143.516,191.075,364.391,546.408,737.128,936.55,1117.846,1342.077,1566.308,1790.539,2014.77,2239.001,,,,,,,,,,,,,,,
5,Residential Micro-generation,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],5460.301,6355.608,6936.925,7518.243,8099.56,8680.878,9262.195,11553.27,10424.83,11006.148,11587.465,12168.783,12750.1,13331.418,13912.735,14494.053,15075.37,15656.688,16238.005,16819.323,17400.64,17981.958,18563.275,19144.593,19725.91,20307.228,20888.545,21469.863
5,Residential Micro-generation,GWh,Electric Engagement,Electricity,Annual [Fiscal],5460.301,6355.608,7414.429,8473.25,9532.071,10590.893,11649.714,12708.535,13767.356,14826.177,15884.999,16943.82,18002.641,19061.462,20120.283,21179.105,22237.926,23296.747,24355.568,25414.389,26473.211,27532.032,28590.853,29649.674,30708.495,31767.317,32826.138,33884.959
5,Residential Micro-generation,GWh,Falling Behind,Electricity,Annual [Fiscal],5460.301,6355.608,6772.584,7189.56,7606.536,8023.512,8440.488,8857.464,9274.44,9691.416,10108.392,10525.368,10942.344,11359.32,11776.296,12193.272,12610.248,13027.224,13444.2,13861.176,14278.152,14695.128,15112.104,15529.08,15946.056,16363.032,16780.008,17196.984
5,Residential Micro-generation,GWh,Holistic Transition,Electricity,Annual [Fiscal],5460.301,6355.608,7249.128,8142.648,9036.168,9929.688,10823.208,11716.728,12610.248,13503.768,14397.288,15290.808,16184.328,17077.848,17971.368,18864.888,19758.408,20651.928,21545.448,22438.968,23332.488,24226.008,25119.528,26013.048,26906.568,27800.088,28693.608,29587.128
5,Residential Micro-generation,GWh,Ten Year Forecast,Electricity,Annual [Fiscal],5460.301,6355.608,6807.474,7259.339,7711.205,8165.699,8620.193,9074.687,9518.669,9970.534,10422.4,10874.266,11326.132,,,,,,,,,,,,,,,
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],72899.624,74480.855,75084.388,75854.797,76639.883,78902.473,80076.032,82315.837,83339.833,95299.032,102118.729,117105.955,146051.043,165915.432,169309.438,175708.903,187668.55,194490.995,214965.069,230666.647,251978.241,269752.217,272843.57,279653.165,294688.614,295575.466,306894.401,301091.765
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Electric Engagement,Electricity,Annual [Fiscal],72899.624,74480.855,74935.853,75769.013,77722.557,80798.523,84333.737,88947.979,93716.101,97733.363,102145.943,108067.69,115905.634,125123.54,144487.819,154290.637,160023.57,170055.251,178325.456,187795.924,193868.79,194117.61,195635.999,198048.914,203574.248,210046.456,212310.538,213125.753
